ID,VISTAS,TITULO ACTUAL,NUEVO TITULO,ALTERNATIVA 2,ALTERNATIVA 3,NUEVA DESCRIPCION,KEYWORDS
wLSqYhlv4j0,295669,Historia: Mictlantecuhtli y su oscuro legado en la mitología azteca,"Mictlantecuhtli, el dios azteca que todas las almas debían enfrentar",Mictlán: el inframundo de 9 niveles que los aztecas temían más que el infierno,Mictlantecuhtli: el mito olvidado del dios que quiso impedir la creación humana,"Mictlantecuhtli, el dios de la muerte azteca, es una de las figuras más temidas de toda la mitología mesoamericana. Según la creencia azteca, ninguna alma podía evitar encontrarse un día con él cara a cara, sin importar la vida que hubiera llevado.

Este documental recorre el mito de Mictlantecuhtli, señor del Mictlán, quien gobernaba la tierra de los muertos junto a su esposa Mictecacíhuatl. La tradición azteca sostenía que el cosmos se dividía en tres partes: los cielos en la parte superior, la tierra de los vivos en el medio y el Mictlán en la parte inferior. Ese inframundo, a su vez, estaba dividido en nueve capas, y se creía que las almas debían realizar un viaje de cuatro años antes de llegar a la última de ellas, donde los recibía el señor de la muerte. A diferencia de otras visiones del más allá, los aztecas creían que la entrada a los distintos paraísos dependía de la forma en que uno moría, no de cómo había vivido.

El relato más revelador de su poder aparece en el mito de la creación: al final del cuarto ciclo de soles, el dios Quetzalcóatl descendió al Mictlán para recuperar los huesos de los humanos de ciclos anteriores. Mictlantecuhtli le exigió recorrer el inframundo cuatro veces haciendo sonar una concha de caracol, pero le entregó una concha sin agujeros. El mito cuenta que Quetzalcóatl llamó a los gusanos para perforarla y a las abejas para hacerla sonar, y que al escapar cayó en una fosa donde los huesos se hicieron añicos, razón por la cual, según los aztecas, los seres humanos somos de diferentes tamaños. El video también narra los sacrificios ofrecidos en su honor, el aumento de ofrendas ordenado por Moctezuma segundo tras la llegada de Hernán Cortés, y las dos representaciones de cerámica de tamaño real del dios desenterradas por arqueólogos en 1994 en la Casa de las Águilas, en el Templo Mayor.

Si te apasionan los misterios de las civilizaciones antiguas y los dioses olvidados, suscríbete al canal y activa la campana para no perderte los próximos documentales.

#Mictlantecuhtli #MitologiaAzteca #Mictlan","el doqmentalista, documentales de misterio en espanol, documental mitologia, mictlantecuhtli, dios de la muerte azteca, mictlan, mitologia azteca, mictecacihuatl, quetzalcoatl, inframundo azteca, mito de la creacion azteca, templo mayor, dioses aztecas, mitologia mexicana, leyendas prehispanicas, civilizaciones antiguas, misterios de mexico, culturas mesoamericanas, historia antigua"
F6OwLDo11cw,293123,LOS ANUNNAKI,Anunnaki: lo que las tablillas sumerias dicen en realidad,Anunnaki: los dioses que Sumeria adoró y el mundo olvidó,Anunnaki: el mito que la arqueología no logra enterrar,"¿Quiénes eran los Anunnaki? Los Anunnaki aparecen en más de 100 referencias de los antiguos textos mesopotámicos, y este documental sigue su rastro desde las tablillas sumerias hasta la teoría más extraña del siglo XX.

Viajamos a Mesopotamia, donde la civilización sumeria existió desde el año 4100 antes de Cristo hasta alrededor del 1750 antes de Cristo. Sus mitos hablan de un poderoso grupo de dioses: la historia babilónica de la creación relata que Marduk asignó 300 dioses al deber en los cielos y el mismo número al inframundo, 600 en total, entre los que la tradición menciona a Anu, dios del cielo, y a Enki, controlador del agua dulce de las profundidades. Según estos relatos, los Anunnaki enseñaron a los sumerios matemáticas, cartografía, escritura y cómo separar el oro.

En el siglo XX, el difunto Zecharia Sitchin dio un giro radical a la leyenda: según sus libros, que vendieron decenas de millones de copias y fueron traducidos a más de dos docenas de idiomas, los Anunnaki serían extraterrestres llegados desde Nibiru, un planeta más allá de Plutón cuya órbita lo acercaría a nuestro sistema solar cada 3,600 años. Su relato cuenta que llegaron a la Tierra hace 450,000 años en busca de oro en África y que, disgustados con el trabajo en las minas, mezclaron sus genes con los del Homo erectus para crear a la humanidad. Como supuesta evidencia, el video cita mapas hallados en una tablilla de arcilla de la biblioteca real de Nínive y una tablilla cuneiforme babilónica que detalla la posición de Júpiter, comentada en un artículo de la revista Science de enero de 2016.

¿Y qué dice la academia? El documental también repasa la investigación del diccionario sumerio de la Universidad de Pensilvania, según la cual Anunnaki no significa ""los que vinieron del cielo"", sino algo como ""semilla de príncipe"" o ""nacido noble"". Entre dioses degradados al reino de los muertos, comparaciones con los nefilim de la Biblia y teorías modernas que los conectan con reptilianos e Illuminati, la leyenda de los Anunnaki sigue viva... y según sus creyentes, algún día volverán.

Suscríbete a El DoQmentalista para más documentales de misterio en español.

#Anunnaki #Sumerios #Misterio","anunnaki, los anunnaki, sumerios, tablillas sumerias, zecharia sitchin, nibiru, mesopotamia, dioses sumerios, mitologia sumeria, alienigenas ancestrales, nefilim, el doqmentalista, documentales de misterio en espanol, civilizaciones antiguas, misterios del mundo, extraterrestres, enigmas de la historia, documental en espanol"
0xfZ_yCD-_I,292316,3 Historias de Pánico Nocturno Parte 6 Enfermera del Hospital de Mexico relatos de terror,La Planchada: la enfermera del Hospital Juárez que los pacientes juran ver,Relatos de terror: ¿quién cuida a los enfermos de madrugada?,"Historias de terror: si algo te llama por tu nombre de noche, no respondas","Relatos de terror que se cuentan en voz baja cuando cae la noche, y entre ellos la leyenda de La Planchada, la enfermera fantasma del Hospital Juárez de la Ciudad de México. Tres historias de pánico nocturno narradas como las contaron quienes aseguran haberlas vivido.

El primer relato es el de un hombre en su primera noche de trabajo en un cementerio. Cuenta que una voz comenzó a llamarlo desde la oscuridad, primero suave y luego gruesa y agresiva, hasta que divisó a un hombre con una larga chaqueta negra, sombrero y bastón, con ojos que brillaban como dos brasas ardientes. Aquella figura se presentó como el príncipe de las tinieblas y le exigió veinte almas a cambio de su libertad. El relato cierra con una frase que hiela la sangre: desde entonces, dice, hay menos vagabundos en su ciudad.

La segunda historia la narra Juan Delgado Medina, de 24 años, quien trabajaba por temporadas en la empresa azucarera de su pueblo. Le tocó vigilar el cableado en el turno de 10 de la noche a 6 de la mañana, en el mismo lugar donde, según contaban su padre y su abuelo, se aparecía una novia vestida de blanco. Entre los matorrales de caña escuchó el llanto de una mujer, la vio sentada sobre una roca con su vestido de novia y, al tocarle el hombro, sus cabellos se volvieron canas: era una anciana que se abalanzó sobre él. Su compañero lo encontró convulsionando entre las cañas a las tres de la mañana.

El tercer relato es la leyenda de La Planchada. Se cuenta que Eulalia, una joven enfermera del Hospital Juárez, querida por su profesionalismo y su uniforme impecable, se enamoró de un médico recién egresado que le propuso matrimonio y terminó casándose con otra mujer. Quebrada por el desamor, descuidó a sus pacientes y murió en el mismo hospital. Según la leyenda, desde entonces aparece de noche con su uniforme blanco y almidonado, atiende a los enfermos más graves que amanecen con mejorías casi milagrosas y despierta con palmadas a los médicos que se duermen en su guardia.

Si te apasionan las leyendas y los relatos de misterio narrados con seriedad, suscríbete a El DoQmentalista para no perderte los próximos episodios.

#RelatosDeTerror #LaPlanchada #LeyendasMexicanas","el doqmentalista, documentales de misterio en espanol, relatos de terror, la planchada, hospital juarez, enfermera fantasma, leyendas mexicanas, historias de panico nocturno, novia de blanco, leyendas urbanas de mexico, historias de terror en espanol, fantasmas en hospitales, leyendas de cementerios, historias paranormales, terror nocturno, misterio y terror, historias para no dormir, leyendas de aparecidos"
4YLaITwSFL0,291585,"Asombroso, MIRA el video de Cleopatra, la última reina de Egipto, EXCLUSIVO, Solo Para INTELIGENTES","Cleopatra no murió como te contaron, nadie sabe la causa real",El expediente de Cleopatra: bodas con sus hermanos y el oro de Alejandro Magno,¿Quién fue realmente Cleopatra? La reina que se declaró diosa en Egipto,"Cleopatra, la última reina de Egipto, no fue solo un rostro célebre: fue una gobernante brillante, encantadora y despiadada cuya muerte sigue siendo un enigma. En este documental recorremos la vida de Cleopatra Séptima, desde su nacimiento en el 69 antes de Cristo hasta su final tras la batalla de Actium.

Hija de Ptolomeo Decimosegundo, ascendió al poder junto a su hermano en el 51 antes de Cristo, cuando ella tenía 18 años y él apenas 10. Al verdadero estilo de la dinastía ptolemaica, se casó con sus propios hermanos: primero con Ptolomeo Decimotercero, quien terminó ahogado en el Nilo, y luego con Ptolomeo Decimocuarto. En el 48 antes de Cristo conoció a Julio César, y según la leyenda que recoge el video, entró de contrabando a sus habitaciones envuelta en una alfombra, aunque Plutarco afirma que fue dentro de un saco de ropa de cama. De esa alianza nació Cesarión, y Cleopatra visitó Roma dos veces, en el 46 y el 44 antes de Cristo, para asegurar su trono.

Tras el asesinato de César, buscó un nuevo aliado en Marco Antonio y llegó ante él navegando el río en una barca de velas púrpuras y remos de plata, vestida como una diosa. Ya en Egipto se había asociado con Isis, la diosa madre, presentándose como protectora divina de las dos tierras. Pero la derrota en Actium, en el 31 antes de Cristo, lo cambió todo: los relatos cuentan que Cleopatra tomó oro de la tumba de Alejandro Magno en Alejandría para financiar su campaña contra Roma, y que al perderlo todo, ella y Antonio se quitaron la vida. Plutarco narra que escondió un áspid en una canasta de higos, aunque él mismo admite que nadie conoce la verdad: otras versiones hablan de veneno oculto en un peine o de un cóctel letal con opio y cicuta.

Los arqueólogos descubrieron una moneda con su rostro, y los relatos antiguos difieren: el historiador romano Casio la describió como una mujer de belleza extraordinaria, mientras Plutarco sostuvo que su inteligencia, encanto y voz eran más atractivos que su apariencia. El consenso que presenta el video es claro: su verdadera arma fue su brillantez política.

Si te apasionan los enigmas de las civilizaciones antiguas, suscríbete al canal de El DoQmentalista y acompáñanos en cada expediente.

#Cleopatra #EgiptoAntiguo #Documental","el doqmentalista, documentales de misterio en español, documental en español, cleopatra, última reina de egipto, cleopatra documental, julio césar y cleopatra, marco antonio y cleopatra, batalla de actium, dinastía ptolemaica, muerte de cleopatra, diosa isis, tumba de alejandro magno, egipto antiguo, faraones de egipto, historia antigua, misterios de la historia, civilizaciones antiguas"
U2ASH4PUJ1Q,291383,Historia: Revelando el misterio del día que Jesús caminó sobre el agua,Jesús caminó sobre el agua: lo que los discípulos vieron esa noche,El milagro del mar de Galilea: el detalle que casi nadie nota,Mar de Galilea: el lago donde las tormentas aparecen de la nada,"La noche en que Jesús caminó sobre el agua sigue siendo uno de los milagros más comentados de todos los tiempos. Pero detrás del relato de Jesús caminando sobre el mar de Galilea hay detalles que la mayoría pasa por alto.

El escenario mismo guarda su propio enigma: el llamado mar de Galilea es en realidad un lago, situado en el valle del Jordán y rodeado de montañas. Según se explica en este documental, el aire frío que desciende de esas montañas choca con el aire cálido y húmedo que sube de la superficie del agua, provocando tormentas repentinas y extremadamente violentas. Justo una de esas tormentas es la que atrapa a los discípulos en plena noche.

El relato bíblico, registrado en los evangelios de Mateo, Marcos y Juan, cuenta que todo ocurrió después de que Jesús alimentara a 5000 personas con solo cinco panes y dos peces, y que aun así sobraran doce cestas de comida. Mientras el maestro oraba a solas en el monte, la barca de los apóstoles se adentró en aguas turbulentas y comenzó a ser azotada por las olas. Fue durante la cuarta vigilia de la noche cuando los discípulos vieron una silueta acercarse sobre las olas y gritaron aterrados: es un fantasma. Pedro, el más valiente, pidió caminar hacia él sobre el agua, dio sus primeros pasos sobre las olas y comenzó a hundirse cuando el miedo pudo más que su fe, hasta escuchar aquellas palabras: hombre de poca fe, por qué has dudado.

En este documental recorremos la versión más detallada del episodio, la del evangelio de Mateo, y las cinco lecciones que los creyentes extraen de esta historia: dar tiempo a Dios, reconocer su presencia en medio de la tormenta, mantenerse concentrados, restaurar la fe después de un tropiezo y superar la tempestad con Jesús en la barca. Todo cerrado con la promesa de Isaías 43:2: cuando pases por las aguas, yo estaré contigo.

Si te apasionan los relatos y misterios de la Biblia contados con seriedad, suscríbete a El DoQmentalista y activa la campanita para no perderte ningún documental.

#JesusCaminaSobreElAgua #MarDeGalilea #MisteriosDeLaBiblia","el doqmentalista, documentales de misterio en español, documentales cristianos, jesus camina sobre el agua, milagros de jesus, mar de galilea, pedro camina sobre el agua, evangelio de mateo, tormenta en el mar de galilea, milagros de la biblia, historias de la biblia, misterios de la biblia, relatos biblicos, vida de jesus, nuevo testamento, fe cristiana, documental biblico"
mXrDtUCbnxs,290773,"Quien fue MAHOMA (Muhammad), el profeta del islam, la historia del islam iqra musulmana",Mahoma: de huérfano en La Meca a profeta del islam,¿Quién fue Mahoma? Así nació el islam en el desierto de Arabia,Mahoma: lo que casi nadie conoce del profeta del islam,"¿Quién fue Mahoma, el profeta del islam? Esta es la historia del hombre que transformó una tierra tribal en una de las religiones más grandes del mundo.

Según narra la tradición islámica, Mahoma nació en La Meca, en la actual Arabia Saudí, en el año 570 después de Cristo. Huérfano desde temprana edad, era conocido como un niño tranquilo y veraz. A los 40 años, durante uno de sus retiros de soledad en una cueva, el relato cuenta que el ángel Gabriel se le apareció y le anunció que Dios lo había elegido como mensajero. Sacudido por la experiencia, buscó consuelo en su esposa Khadija, quien le aseguró que un hombre sincero y generoso no sería llevado por mal camino. Tras tres años de espera, las revelaciones se reanudaron y Mahoma comenzó a predicar un mensaje que incomodó a los ricos de La Meca: adorar a un solo Dios, rechazar los ídolos y compartir la riqueza con los pobres.

Lo que siguió fue persecución. Sus primeros seguidores, muchos de ellos esclavos y mujeres, fueron torturados y algunos asesinados. En el llamado año de la tristeza murieron Khadija y su tío protector Abu Talib. La tradición también relata el viaje nocturno a Jerusalén, donde Mahoma habría visitado la mezquita de Al-Aqsa y sido elevado al cielo. En el año 622 llegó la migración a Medina, el punto de partida del calendario islámico, y con ella las batallas contra las tribus de La Meca: la defensa contra un ejército tres veces superior, la lección de la codicia, la gran trinchera cavada para frenar a la caballería enemiga.

El desenlace sorprende: un tratado de paz de diez años, su violación por parte de los mecanos, y una entrada triunfal en La Meca sin derramamiento de sangre, sellada con una amnistía general que conmovió a la ciudad. Una década después de la migración, tras pronunciar su sermón de despedida en la llanura de Arafat, el profeta enfermó y falleció en Medina, dejando como sucesor al califa Abu Bakr.

Si te apasionan las historias que marcaron la fe de millones, suscríbete a El DoQmentalista y activa la campana para no perderte ningún documental.

#Mahoma #Islam #Documental","el doqmentalista, documentales de misterio en espanol, documentales en espanol, quien fue mahoma, mahoma profeta del islam, historia del islam, vida de mahoma, profeta muhammad, la meca, medina, coran, angel gabriel, khadija, calendario islamico, historia de las religiones, religiones del mundo, biografias historicas, personajes historicos, documental historico"
1KAzHBx5RkE,290163,Demonología: 6 Demonios Sexuales Que Te Sorprenderán en la Oscuridad,Demonios Sexuales Que Atacan de Noche y Nadie Te Advirtió,Demonios Sexuales Que el Folclor Antiguo Conocía y Hoy Olvidamos,Demonios Sexuales: Testigos en Zanzíbar los Reportan Desde 1965,"Los demonios sexuales aparecen en el folclor de culturas separadas por océanos enteros, y las leyendas coinciden en un mismo patrón inquietante: estos demonios sexuales atacan cuando su víctima duerme. En este documental recorremos seis de esas entidades nocturnas, desde África oriental hasta el norte de Europa, narradas tal como las cuentan sus propias tradiciones.

El recorrido comienza en Zanzíbar con el Popobawa, cuyo nombre según se narra significa ""ala de murciélago"". La leyenda lo describe como una criatura con un solo ojo, capaz de cambiar de forma, que visita los hogares por la noche y advierte a sus víctimas que deben contar el ataque o se arriesgan a que regrese. Los relatos sitúan su primera aparición en la isla de Pemba en 1965, con avistamientos reportados hasta el día de hoy. El video cita al investigador Benjamin Radford, quien rastreó las raíces del fenómeno en el islam de la región, y menciona otra teoría que lo interpreta como una memoria social de los horrores de la esclavitud.

Después llegan los más conocidos: el súcubo y el íncubo, demonios que según la creencia medieval drenan la energía vital de sus víctimas. Algunas leyendas sostienen que el mago Merlín habría nacido de un padre íncubo y una madre humana. El folclor judío aporta a Lilu, Lilin y Ardat Lili, temidos por las madres porque se les atribuía el secuestro de niños. De Hungría viene el Lidérc, que según la tradición nace del primer huevo de una gallina negra, entra por el ojo de la cerradura y solo puede exorcizarse sellándolo en el hueco de un árbol o encargándole una tarea imposible, como llevar agua en un cubo lleno de agujeros. Cierran la lista la Mara del folclor germánico, atestiguada ya en la saga Ynglinga del siglo trece y probablemente inspirada en la parálisis del sueño, y el Alp teutón, que se convierte en niebla para entrar al cuerpo del durmiente, un relato que podría ser una de las primeras explicaciones de la apnea del sueño.

Si te apasionan los misterios del folclor, la demonología y lo paranormal, suscríbete al canal y activa la campana para no perderte los próximos documentales.

#Demonología #Paranormal #ElDoQmentalista","el doqmentalista, documentales de misterio en español, demonios sexuales, demonología, súcubo, íncubo, popobawa, parálisis del sueño, mara pesadilla, lidérc, alp demonio, folclor judío, leyendas de demonios, paranormal, misterio, ocultismo, criaturas del folclor, terror nocturno"
rw9zCmvKCyg,287619,El Evangelio Maldito de Felipe: El texto prohibido que la Iglesia teme,Evangelio de Felipe: lo que la Iglesia calló sobre María Magdalena,Evangelio de Felipe: el manuscrito oculto casi 1600 años en Egipto,Evangelio de Felipe: lo condenaron en el año 367 y sobrevivió bajo la arena,"El Evangelio de Felipe es uno de los textos más polémicos jamás desenterrados, y en este documental te cuento por qué la Iglesia lo consideró peligroso durante siglos. ¿Qué dice realmente el Evangelio de Felipe sobre Jesús y María Magdalena?

En 1945, en el desierto de Nag Hammadi, Egipto, dos campesinos que buscaban fertilizante rompieron el sello de un jarrón de cerámica enterrado al pie de un acantilado. Dentro no había oro: había 13 códices encuadernados en cuero, una biblioteca de 52 libros escritos en copto que llevaban casi 1600 años ocultos. En el códice dos, junto al famoso Evangelio de Tomás, apareció el Evangelio de Felipe: una colección de unos cien dichos y enseñanzas místicas de corte gnóstico, cuyo manuscrito data del siglo IV y que, según los estudiosos, fue compuesto originalmente en griego.

Sus páginas contienen los pasajes que escandalizaron a la ortodoxia. El texto llama a María Magdalena la compañera del Salvador, koinonos en el original, y afirma que Cristo la amaba más que a todos los discípulos y la besaba frecuentemente. También ridiculiza la concepción por obra del Espíritu Santo, al que la mentalidad gnóstica concebía como una entidad femenina, y propone el misterio de la cámara nupcial como cumbre de la iniciación espiritual. El video cita al estudioso Antonio Piñero, quien señala que la relación entre Jesús y Magdalena podría entenderse en sentido espiritual, aunque no excluye otras lecturas.

Repasamos además la reacción de la Iglesia: las refutaciones de padres como Ireneo y Epifanio, la carta pascual del año 367 en la que Atanasio, obispo de Alejandría, ordenó desechar los libros no canónicos, el probable motivo por el que algún monje enterró estos códices para salvarlos de la destrucción, y el terremoto cultural que provocó en 2003 la novela El Código Da Vinci de Dan Brown, que se apoyó precisamente en este evangelio apócrifo para imaginar a un Jesús casado. Quizá nunca sabremos si es un texto sagrado o la voz perdida de una herejía extinta, pero su historia sigue inquietando a creyentes y estudiosos por igual.

Suscríbete al canal para seguir explorando los textos y misterios que la historia oficial dejó fuera.

#EvangelioDeFelipe #NagHammadi #MisteriosBiblicos","el doqmentalista, documentales de misterio en espanol, documental biblico, evangelio de felipe, maria magdalena, nag hammadi, evangelios apocrifos, textos gnosticos, biblioteca de nag hammadi, jesus y maria magdalena, evangelio de tomas, camara nupcial, misterios de la biblia, historia del cristianismo, manuscritos antiguos, vaticano, codigo da vinci, cristianismo primitivo, textos antiguos, ocultismo"
0SEgBN2JusI,283620,"DOS HISTORIAS DE TERROR 2018, El DoQmentalista, Clap, Clap & Escape","Historias de Terror: Si Algo Aplaude en la Oscuridad, No Preguntes Más",Relatos de Terror: Nunca Pases la Noche en una Cabaña Abandonada,"Historias de Terror: ""Creíste que Podías Escapar""","Estas historias de terror narradas te van a acompañar mucho después de que termine el video. Dos relatos de terror, Clap Clap y Escape, que demuestran que lo más aterrador no siempre tiene rostro... y que a veces sí lo tiene, y vive en tu propia casa.

En Clap Clap, un joven matrimonio sale de excursión a las montañas y, cuando el sol empieza a ponerse, descubre que está perdido. Sin mapa ni brújula, y con animales salvajes merodeando el bosque, encuentran una vieja cabaña en ruinas: ventanas rotas, polvo, olor a moho y las paredes cubiertas de piso a techo con una sola palabra escrita en letras rojas: muerte. Aun así deciden quedarse a pasar la noche. Pasada la medianoche, un ruido los despierta, y el marido propone desde la ventana un juego que jamás debió proponer: aplaude una vez para decir sí y dos para decir no. Lo que responde desde la oscuridad total confirma que ahí afuera hay alguien... o algo. Y las respuestas que da, aplauso por aplauso, son el verdadero corazón de este relato.

En Escape, la voz que narra es la de la propia víctima: un niño cuya vida se convirtió en un infierno cuando su madre se casó de nuevo. El padrastro lo insultaba, lo golpeaba con la mínima excusa y convirtió cada cena en una tortura, mientras la madre se mantenía al margen. El niño intentó huir de casa, pero la policía lo devolvió, y en la puerta lo esperaba su padrastro con una frase helada: creías que podías escapar. Lo que ocurre después, y el lugar imposible donde esa misma frase vuelve a pronunciarse al final, es de esos cierres que se quedan clavados en la memoria.

Ambos relatos pertenecen a la tradición de las historias de terror que se comparten de voz en voz: narraciones creadas para inquietar, donde muchas veces el horror más profundo no es sobrenatural, sino humano.

Si te gustan los relatos y documentales de misterio narrados en español, suscríbete al canal de El DoQmentalista y activa la campanita para no perderte los próximos episodios.

#HistoriasDeTerror #Creepypasta #ElDoQmentalista","el doqmentalista, documentales de misterio en español, historias de terror, relatos de terror, creepypasta en español, clap clap historia de terror, cabaña abandonada en el bosque, terror en la montaña, historias de terror narradas, cuentos de terror, historias para no dormir, terror y misterio, leyendas de terror, narraciones de terror en español, videos de terror, miedo en la oscuridad, relatos escalofriantes"
_eoOWvyY9m0,282367,Rey Salomón y su Ejército Demoníaco - El DoQmentalista,El Anillo de Salomón que Según la Leyenda Dominaba 72 Demonios,Llave Menor de Salomón: la Advertencia sobre el Demonio Astaroth,El Libro de Magia del Rey Salomón Escondido en una Tumba,"El anillo de Salomón es uno de los objetos más enigmáticos de toda la tradición esotérica. Según la leyenda, el anillo de Salomón fue grabado por Dios mismo y enviado desde el cielo, otorgando al rey bíblico dominio sobre espíritus, demonios y hasta la capacidad de comunicarse con los animales.

En este documental recorremos el rastro de esa leyenda a través de los textos que la construyeron. Los relatos cuentan que los escritores árabes medievales desarrollaron la historia del sello y la asociaron con el hexagrama, conocido en la tradición judía como la estrella de David. El video cita el Heptamerón de 1496, atribuido a Peter de Abano, donde el pentáculo de Salomón se transforma en un círculo de protección dibujado en la tierra, desde el cual los magos invocaban entidades del inframundo. También exploramos los legendarios libros de magia atribuidos al rey: la Clave de Salomón, que aparece en manuscritos griegos del siglo 15, y la Clavícula Salomonis Regis o Llave Menor de Salomón, del siglo 17, influenciada por cabalistas judíos y alquimistas árabes.

El relato más inquietante sostiene que Salomón constriñó a 72 espíritus dentro de una vasija de bronce y escribió sobre ello a su hijo Roboam, y que el libro terminó escondido en una tumba hasta que un grupo de filósofos babilonios lo descubrió sin poder interpretarlo. Entre esos espíritus, la tradición describe a Astaroth, presentado en los grimorios como Gran Duque del Infierno, sentado junto a Belcebú y Lucifer, que aparece montado sobre una bestia infernal semejante a un dragón, con una víbora en la mano derecha y un aliento tan nocivo que el mago debía protegerse con el anillo. Según estos textos, gobierna 40 legiones de espíritus y responde sobre el pasado, el presente y el porvenir. Con este supuesto ejército demoníaco, cuentan las leyendas, Salomón habría erigido las majestuosas estructuras de su templo.

¿Fue Salomón un rey sabio bendecido por lo divino, o un ocultista que caminaba en la frontera entre lo sagrado y lo profano? Acompáñame a examinar lo que dicen los grimorios y las crónicas de esta tradición milenaria.

Si te apasionan los misterios documentados con seriedad, suscríbete al canal y activa la campanita para no perderte ningún episodio.

#ReySalomon #Misterio #Ocultismo","el doqmentalista, documentales de misterio en español, rey salomón, anillo de salomón, sello de salomón, llave menor de salomón, clavícula de salomón, astaroth, 72 demonios de salomón, grimorios antiguos, ocultismo medieval, demonología, magia ceremonial, misterios bíblicos, leyendas bíblicas, templo de salomón, paranormal en español, documental de ocultismo"
